Doctor ID,Doctor Name,Education,Speciality,Experience,Chamber,Location,Concentration,MBBS,FCPS,BCS,MD,MS,MCPS,CCD,PGT,BDS,MPH,Gynae Problems,Cardiac Medicine,General Medicine,Aesthetic Medicine,Adolescent Medicine,Infectious Diseases,Geriatric Medicine,Polycystic Ovary Syndrome (Pcos),Hormone Dirtubances,Health Checkup (Pediatric)
11,Assoc. Prof. Dr. Salma Anam,"['MBBS', 'FCPS', 'MS']",GENERAL SURGEON,23,BRAC Healthcare | Mirpur,Dhaka,"['Acne Treatment', 'Birthmark Reduction', 'Body Contouring Surgery', 'Burn Scar Reconstruction', 'Colonoscopy', 'Cosmetic Surgery', 'Dermatosurgery', 'Endosurgery', 'Fistula Surgery', 'Lip Reconstruction', 'Liposuction', 'Minor Surgery', 'Reconstructive Surgery', 'Rhinoplasty', 'Robotic Surgery', 'Vascular Malformation Treatment', 'Webbed Fingers / Toes Correction', 'Safe Ear Piercing For Infants And Children']",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Assoc. Prof. Dr. Salma Anam,"['MBBS', 'FCPS', 'MS']",PLASTIC SURGEON,23,BRAC Healthcare | Mirpur,Dhaka,"['Acne Treatment', 'Birthmark Reduction', 'Body Contouring Surgery', 'Burn Scar Reconstruction', 'Colonoscopy', 'Cosmetic Surgery', 'Dermatosurgery', 'Endosurgery', 'Fistula Surgery', 'Lip Reconstruction', 'Liposuction', 'Minor Surgery', 'Reconstructive Surgery', 'Rhinoplasty', 'Robotic Surgery', 'Vascular Malformation Treatment', 'Webbed Fingers / Toes Correction', 'Safe Ear Piercing For Infants And Children']",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Assoc. Prof. Dr. M. S. Arefin Patwary,"['MBBS', 'FCPS', 'MCPS', 'FELLOW IN RHEUMATOLOGY']",RHEUMATOLOGIST,15,Popular Diagnostic Centre Ltd. | Shantinagar (Unit 1),Dhaka,"['Adolescent Medicine', 'Aesthetic Medicine', 'Arthritis', 'General Health', 'General Illness', 'General Medicine', 'Geriatric Medicine', 'Infectious Disease Treatment', 'Medical Advisor', 'Rheumatism Treatment', 'Rheumatology', 'Vaccination/ Immunization', 'Health Checkup (General)']",1,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0
12,Assoc. Prof. Dr. M. S. Arefin Patwary,"['MBBS', 'FCPS', 'MCPS', 'FELLOW IN RHEUMATOLOGY']",MEDICINE SPECIALIST,15,Popular Diagnostic Centre Ltd. | Shantinagar (Unit 1),Dhaka,"['Adolescent Medicine', 'Aesthetic Medicine', 'Arthritis', 'General Health', 'General Illness', 'General Medicine', 'Geriatric Medicine', 'Infectious Disease Treatment', 'Medical Advisor', 'Rheumatism Treatment', 'Rheumatology', 'Vaccination/ Immunization', 'Health Checkup (General)']",1,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0
13,Prof. Dr. Syed Azizul Haque,"['MBBS', 'FCPS', 'MD', 'FRCP']",CARDIOLOGIST,21,Medinova Medical Services Ltd.| Dhanmondi,Dhaka,"['Acute Care Imaging', 'Cardiac Ablation', 'Cardiac Ablation', 'Cardiac Anesthesia', 'Cardiac Catheterization', 'Cardiac Disease', 'Cardiac Invasive Procedures', 'Cardiac Medicine', 'Cardiac Mri', 'Cardiac Pacing', 'Cardiac Rehabilitation', 'Cardiac Transplant', 'Cardic Tmt', ' Ecg', ' Echo', 'Cardio Thoracic Surgery', 'Cardiogenic Shock', 'Cardiography', 'Cardiology', 'Cardiomyopathy']",1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
14,Dr. Wahida Rahman,"['MBBS', 'BCS', 'FCPS']",GYNECOLOGIST & OBSTETRICIAN,15,Apollo Clinic Dhanmondi & JMI Specialized Hospital,Dhaka,"['All Gynae Surgery', 'Cosmetic Laser Gynaecologist', 'Gynae Check Up', 'Gynae Problems', 'Gynae Problems', 'Gynaec Laparoscopy', 'Gynaecological Endoscopy', 'Gynec Advices', 'Gynecologic Oncology', 'Gynecological Cancer Treatment', 'Maternal Care', 'Maternal Care/ Checkup', 'Ob-Gyn Anesthesia', 'Obstetrics & Gynecology', 'Uro Gynecological Problems', 'Maternal Fetal Medicine']",1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
15,Prof. Dr. Neke Akhtar,"['MBBS', 'FCPS']",GYNECOLOGIST & OBSTETRICIAN,20,Apollo Clinic Dhanmondi & JMI Specialized Hospital,Dhaka,"['Advaced Laproscopic Gynaecological Surgery', 'All Gynae Surgery', 'Diseases In Pregnancy', 'Doppler Scan In Pregnancy', 'Gynae Check Up', 'Gynae Problems', 'Gynaec Laparoscopy', 'Gynaecological Endoscopy', 'Gynec Advices', 'Gynecologic Oncology', 'Gynecological Cancer Treatment', 'Gynecomastia Treatment / Surgery', 'Laparoscopic Surgery (Obs & Gyn)', 'Ob-Gyn Anesthesia', 'Obstetrics & Gynecology', 'Complicated Pregnancy Treatment']",1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
16,Prof. Dr. Amiruzzaman Sumon,"['MBBS', 'FCPS']",MEDICINE SPECIALIST,20,Apollo Clinic Dhanmondi & JMI Specialized Hospital,Dhaka,"['Adolescent Medicine', 'Aesthetic Medicine', 'Cardiac Medicine', 'Critical Care Medicine', 'Dengue Fever', 'Family Medicine', 'Fetal Medicine', 'Fetomaternal Medicine', 'General Medicine', 'Geriatric Medicine', 'Immediate Dentures', 'Kidney Medicine', 'Lung & Mediastinal Tumors', 'Maternal Fetal Medicine', 'Mediastinoscopy', 'Medical Advisor', 'Fever Treatment']",1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0
17,Prof. Dr. Md. Nurul Amin Miah,"['MBBS', 'MD', 'FACP', 'FRCP']",INTERNAL MEDICINE SPECIALIST,20,Apollo Clinic Dhanmondi & JMI Specialized Hospital,Dhaka,"['Adolescent Medicine', 'Aesthetic Medicine', 'Cardiac Medicine', 'Critical Care Medicine', 'Family Medicine', 'Fetal Medicine', 'Fetomaternal Medicine', 'General Medicine', 'Geriatric Medicine', 'Kidney Medicine', 'Maternal Fetal Medicine', 'Medical Oncology', 'Medical Peels', 'Medical Vitiligo Treatment']",1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0
18,Prof. Dr. Alamgir Kabir,"['MBBS', 'FCPS']",HEMATOLOGIST,35,Apollo Clinic Dhanmondi & JMI Specialized Hospital,Dhaka,"['Acute Hematologic Disorder', 'Benign Hematology Treatment', 'Blood Banking', 'Blood Calcium', 'Blood Cancer Specialist', 'Blood Clots', 'Blood Disease', 'Blood Disorder Treatment', 'Blood Group Test', 'Blood In Motion', 'Blood In Urine', 'General Hematology', 'Brain Hemorrhage']",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Dr. Sayem Hossain,"['MBBS', 'MS']",UROLOGIST,10,Apollo Clinic Dhanmondi & JMI Specialized Hospital,Dhaka,"['Kidney Function Test', 'Prostate Gland', 'Urinary Bladder', 'Andrology', 'Venereal Disease', 'Urethra', 'Endourology', 'Erectile Dysfunction', 'Minimal Invasive Urology', 'Urology Consultation', 'Varicoceles & Male Infertility', 'Male Infertility Treatment']",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Prof. Dr. Md. Fazlul Kadir,"['MBBS', 'FCPS']",INTERNAL MEDICINE SPECIALIST,35,Apollo Clinic Dhanmondi & JMI Specialized Hospital,Dhaka,"['Abnormal Uterine Bleeding', 'Acquired Von Willebrand Syndrome', 'Acute Bronchitis', 'Anxiety Disorders Treatment', 'Bacterial Brain Abscess', 'Bleeding Peptic Ulcers', 'Chronic Infectious Diseases', 'Colonic Ischemia', 'Lactic Acidosis', 'Lyme Disease', 'Thrombotic Thrombocytopenic Purpura (Ttp)', 'Acute Bacterial Meningitis']",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Dr. Fatema Jannatul Afrose Nimme,"['MBBS', 'MPH', 'MS']",DERMATOLOGIST,5,Apollo Clinic Dhanmondi & JMI Specialized Hospital,Dhaka,"['Acne', 'Allergic Bronchopulmonary Aspergillosis', 'Allergic Conjunctivitis', 'Allergic Enteropathy', 'Allergic Rhinitis', 'Allergy & Immunotheraphy', 'Allergy Skin Prick Test', 'Bacterial Skin Infection Treatment', 'Cellulitis & Skin Abscesses', 'Chronic Skin Allergy', 'Dimple Creation', 'Dull Skin', 'Dull Skin Treatment', 'Fractional Co2 Laser Skin Resurfacing', 'Lip Reconstruction', 'Pimples Treatment', 'Sun Burn Treatment', 'Hair Disease']",1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
22,Assoc. Prof. Dr. Tamjida Farhana,"['MBBS', 'FCPS', 'MCPS', 'DO']",OPHTHALMOLOGIST,12,Apollo Clinic Dhanmondi & JMI Specialized Hospital,Dhaka,"['Amblyopia (Lazy Eye)', 'Anophthalmia (Absent Eye)', 'Cataract & Lasik Eye Surgery', 'Chronic Eye Diseases', 'Diabetic Eye Checkup', 'Dry Eye - Evaluation / Treatment', 'Dry Eyes', 'Eye Cancer', 'Eye Checkup - General', 'Eye Disorder', 'Eye Exercises For Double Vision', 'Eye Patch Therapy', 'Eye Problems', 'Eye Surgery', 'Eye Ultrasound', 'Eyebrow Design']",1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Prof. Dr. Amit Wajib,"['MBBS', 'FCPS', 'MD']",NEUROLOGIST,16,Apollo Clinic Dhanmondi & JMI Specialized Hospital,Dhaka,"['Bacterial Brain Abscess', 'Brain Aneurysm Coiling', 'Brain Hemorrhage', 'Brain Infection', 'Brain Mapping', 'Neurourology', 'Peripheral Neuropathies', 'Traumatic Brain Injury (Tbi) Treatment', 'Trigeminal Neuralgia', 'Meningitis']",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Dr. Mausumi Iqbal,"['BDS', 'FCPS', 'FHN', 'FTMJ']",MAXILLOFACIAL AND DENTAL SURGEON,10,Apollo Clinic Dhanmondi & JMI Specialized Hospital,Dhaka,"['Artificial Teeth', 'Dental Braces Fixing', 'Dental Caries', 'Dental Checkup (General)', 'Dental Crowns', 'Dental Fillings', 'Dental Implants', 'Dental Implants', 'Impacted Teeth', 'Impacted Teeth', 'Straightening Teeth', 'Sensitive Teeth']",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
25,Prof. Dr. Manzoor Hossain,"['MBBS', 'DCH', 'MRCP', 'FCPS', 'FRCP', 'FRCP']",PEDIATRICIAN,40,Apollo Clinic Dhanmondi & JMI Specialized Hospital,Dhaka,"['Abdominoperineal Resection (Pediatric)', 'Advanced Pediatric Life Support (Apls)', 'Bone Marrow Transplant(Pediatrics)', 'Exchange Transfusion (Pediatric)', 'Health Checkup (Pediatric)', 'Health Checkup (Pediatric)', 'Pediatric Allergy', 'Pediatric Critical Care', 'Pediatric Dermatology', 'Pediatric Diabetes', 'Pediatric Emergencies', 'Pediatric Medicine']",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
25,Prof. Dr. Manzoor Hossain,"['MBBS', 'DCH', 'MRCP', 'FCPS', 'FRCP', 'FRCP']",PEDIATRIC CARDIOLOGIST,40,Apollo Clinic Dhanmondi & JMI Specialized Hospital,Dhaka,"['Abdominoperineal Resection (Pediatric)', 'Advanced Pediatric Life Support (Apls)', 'Bone Marrow Transplant(Pediatrics)', 'Exchange Transfusion (Pediatric)', 'Health Checkup (Pediatric)', 'Health Checkup (Pediatric)', 'Pediatric Allergy', 'Pediatric Critical Care', 'Pediatric Dermatology', 'Pediatric Diabetes', 'Pediatric Emergencies', 'Pediatric Medicine']",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
26,Prof. Dr. Md. Lutful Kabir,"['MBBS', 'MRCP', 'FRCP']",MEDICINE SPECIALIST,26,Apollo Clinic Dhanmondi & JMI Specialized Hospital,Dhaka,"['Adolescent Medicine', 'Aesthetic Medicine', 'Cardiac Medicine', 'Cognitive Remediation Therapy (Crt)', 'Dengue Fever Treatment', 'Family Medicine', 'Fetal Medicine', 'Fetomaternal Medicine', 'General Medicine', 'Geriatric Medicine', 'Immediate Dentures', 'Kidney Medicine', 'Lung & Mediastinal Tumors', 'Mediastinoscopy', 'Medical Advisor', 'Typhoid Fever Treatment']",1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0
27,Asst. Prof. Dr. Md. Elias Bhuiyan,"['MBBS', 'FCPS']",MEDICINE SPECIALIST,10,Apollo Clinic Dhanmondi & JMI Specialized Hospital,Dhaka,"['Adolescent Medicine', 'Aesthetic Medicine', 'Cardiac Medicine', 'Cognitive Remediation Therapy (Crt)', 'Critical Care Medicine', 'Family Medicine', 'Fetal Medicine', 'Fetomaternal Medicine', 'General Medicine', 'Geriatric Medicine', 'Immediate Dentures', 'Kidney Medicine', 'Lung & Mediastinal Tumors', 'Mediastinal Tumor']",1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0
28,Asst. Prof. Dr. Nusrat Zarin,"['MBBS', 'MD']",ENDOCRINOLOGIST,8,Apollo Clinic Dhanmondi & JMI Specialized Hospital,Dhaka,"['Diabetes', 'Diabetes In Children', 'Diabetes Renal Failure', 'Growth Hormone Disorders', 'Hormonal Therapy', 'Hormone Testing', 'Hyper / Hypo - Thyroid Treatment', 'Hyperthyroidism', 'Insulin Hormone', 'Parathyroid Gland']",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,Asst. Prof. Dr. Lima Asrin Sayami,"['MBBS', 'FCPS', 'MRCP']",CARDIOLOGIST,15,Apollo Clinic Dhanmondi & JMI Specialized Hospital,Dhaka,"['Aesthetic Medicine', 'Cardiac Disease', 'Cardiology', 'Cardiovascular Treatment', 'Congenital Heart Disease', 'Diagnostic Cardiovascular Imaging', 'Fast Heartbeat', 'General Health', 'General Medicine', 'Heart Muscle Inflammation', 'Medical Advisor', 'Medical Emergencies', 'Chronic Cardiac Failure', 'Cardiac Ablation', 'Cardiac Ablation', 'Cardiac Anesthesia']",1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
30,Assoc. Prof. Dr. Md. Salahuddin Farugue,"['MBBS', 'FCPS', 'MS']",UROLOGIST,16,Apollo Clinic Dhanmondi & JMI Specialized Hospital,Dhaka,"['Bladder Control Problems', 'Cystocele', 'Epididymitis', 'Erectile Dysfunction (Ed)', 'Hydronephrosis', 'Kidney Stones', 'Neurogenic Bladder', ""Peyronie'S Disease"", 'Prostate Problems', 'Pyelonephritis', 'Ureteral Stricture', 'Urinary Tract Infections', 'Urologic Diseases', 'Orchitis']",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,Asst. Prof. Dr. Adnan Yousuf Chowdhury,"['MBBS', 'MCPS', 'MD']",RESPIRATORY SPECIALIST,19,Apollo Clinic Dhanmondi & JMI Specialized Hospital,Dhaka,"['Acute Bronchitis', 'Asbestosis', 'Chronic Bronchitis', 'Chronic Cough', 'Cystic Fibrosis', 'Emphysema', 'Hypersensitivity Pneumonitis', 'Lung Abscess', 'Pleural Effusion', 'Pneumonia', 'Pulmonary Edema', 'Pulmonary Hypertension', 'Tuberculosis', 'Primary Ciliary Dyskinesia (Pcd)']",1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Dr. Subrata Poddar Choyon,"['MBBS', 'BCS', 'FCPS', 'MD', 'MACP']",GASTROENTEROLOGIST,13,Apollo Clinic Dhanmondi & JMI Specialized Hospital,Dhaka,"['Adolescent Medicine', 'Aesthetic Medicine', 'Cardiac Medicine', 'Cognitive Remediation Therapy (Crt)', 'Critical Care Medicine', 'Family Medicine', 'Fetal Medicine', 'Fetomaternal Medicine', 'General Medicine', 'Geriatric Medicine', 'Immediate Dentures', 'Kidney Medicine', 'Maternal Fetal Medicine', 'Medical Advisor']",1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0
33,Prof. Dr. Iffat Ara,"['MBBS', 'FCPS', 'M.MED']",GYNECOLOGIST & OBSTETRICIAN,25,Apollo Clinic Dhanmondi & JMI Specialized Hospital,Dhaka,"['Abortion / Medical Termination Of Pregnancy (Mtp)', 'Advaced Laproscopic Gynaecological Surgery', 'Advice To Pregnant Women', 'All Gynae Surgery', 'Cosmetic Laser Gynaecologist', 'Gynae Check Up', 'Gynae Problems', 'Gynaec Laparoscopy', 'Gynaecological Endoscopy', 'Gynec Advices', 'Maternal Care', 'Maternal Care/ Checkup', 'Maternal Fetal Medicine']",1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
34,Asst. Prof. Dr. Md. Merazul Islam Sheikh Meraz,"['MBBS', 'BCS']",NEUROLOGIST,15,Apollo Clinic Dhanmondi & JMI Specialized Hospital,Dhaka,"['Anxiety Neurosis', 'Brain Aneursym Surgery', 'Brain Aneurysm Coiling', 'Brain Hemorrhage', 'Brain Infection', 'Brain Mapping', 'Brain Spine Tb', 'Brain Suite', 'Clinical Neurologist', 'Brain Surgery']",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Prof. Dr. Syed Shamsuddin Ahmed,"['MBBS', 'DTM', 'PHD', ' JAPAN)']",PLASTIC SURGEON,35,Apollo Clinic Dhanmondi & JMI Specialized Hospital,Dhaka,"['Acne Treatment', 'Birthmark Reduction', 'Body Contouring Surgery', 'Burn Scar Reconstruction', 'Cosmelan Treatment', 'Cosmetic Surgery', 'Dermatosurgery', 'Dimple Creation', 'Lip Reconstruction', 'Liposuction', 'Reconstructive Surgery', 'Rhinoplasty', 'Vascular Malformation Treatment', 'Webbed Fingers / Toes Correction', 'Lip Augmentation']",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,Prof. Dr. Mushfiqur Rahman,"['MBBS', 'FCPS', 'FICS']",OTOLARYNGOLOGISTS (ENT),20,Apollo Clinic Dhanmondi & JMI Specialized Hospital,Dhaka,"['Cochlear Implants', 'Ear Drum Repair', 'Ear Micro Surgery', 'Frontal Sinus Surgery', 'Head And Neck Tumor / Cancer Surgery', 'Microsurgery Of The Larynx', 'Nasal Endoscopy', 'Nasal Polypectomy', 'Reconstructive Middle Ear Surgery', 'Rhinoplasty', 'Skull Base Surgery', 'Sleep Apnea', 'Surgery For Snoring', 'Tonsillitis Treatment', 'Tympanoplasty', 'Tonsillectomy', 'Pediatric Otolaryngology', 'Nasal Polyps']",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,Prof. Dr. Rowshan Ara Begum,"['MBBS', 'MPH', 'M.PHIL', 'FCPS']",ONCOLOGIST,16,Apollo Clinic Dhanmondi & JMI Specialized Hospital,Dhaka,"['Breast Oncologist', 'Breast Oncology', 'Bronchial Asthma Treatment', 'Gastrointestinal Oncology', 'Gynecologic Oncology', 'Haemato Oncology', 'Hemato Oncology', 'Hematological Oncology', 'Laparoscopic Oncology', 'Medical Oncology', 'Neuro-Oncology', 'Oncosurgeon', 'Bronchoscopy']",1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
38,Asst. Prof. Dr. Shareen Khan,"['MBBS', 'FCPS']",PEDIATRICIAN,10,Apollo Clinic Dhanmondi & JMI Specialized Hospital,Dhaka,"['Abdominoperineal Resection (Pediatric)', 'Acidity In Children', 'Advanced Pediatric Life Support (Apls)', 'Arthritis In Children', 'Asthma In Children', 'Auto-Immune Diseases In Children', 'Behaviour Problem In Children', 'Bone Marrow Transplant(Pediatrics)', 'Health Checkup (Pediatric)', 'Pediatric & Neonatal Emergencies', 'Pediatric Allergy']",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
39,Dr. Sanjoy Sinha,"['MBBS', 'BCS', 'MS', 'AO-BASIC']",ORTHOPEDIC SURGEON,10,Apollo Clinic Dhanmondi & JMI Specialized Hospital,Dhaka,"['Dentofacial Orthopedics', 'Functional Orthopedics', 'General Orthopedic Clinic', 'Jaw Orthopedics', 'Lingual Orthodontics', 'Orthodontics', 'Orthographic Surgery', 'Orthopaedic Diseases', 'Orthopedic In Pitampura', 'Orthopedic Physiotherapy', 'Orthopedic Surgery', 'Orthotic Splints', 'Paediatric Orthopedic Surgeon', 'Paediatrics - Ortho']",1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,Dr. Nahid Parveen,"['MBBS', 'MS']",GYNECOLOGIST & OBSTETRICIAN,5,Apollo Clinic Dhanmondi & JMI Specialized Hospital,Dhaka,"['All Gynae Surgery', 'Complicated Pregnancy Treatment', 'Diseases In Pregnancy', 'Doppler Scan In Pregnancy', 'Early Pregnancy Scan', 'Gynae Check Up', 'Gynae Problems', 'Gynae Problems', 'Gynaec Laparoscopy', 'Gynaecological Endoscopy', 'Gynec Advices', 'Gynecologic Oncology', 'Laparoscopic Surgery (Obs & Gyn)', 'Ectopic Pregnancy Removal']",1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
